nom;2.5KB;5KB;10KB;25KB;50KB;100KB
AMAD;1,306;541;126;42;20;4
ARCA;2,637;873;181;51;19;4
ATTR;4,670;1,976;524;112;41;6
AYDT;2,798;1,222;254;62;21;3
BALM;3,406;1,391;287;68;22;9
BANY;1,289;538;133;25;13;5
BRTL;3,617;1,281;298;66;14;5
CADA;2,248;924;270;83;31;8
CEPX;3,441;1,727;472;98;42;9
CERN;962;357;117;40;15;6
CERT;1,452;575;146;49;13;4
CINC;1,420;603;178;59;20;6
CLAY;1,062;467;129;27;9;4
CONS;3,462;1,477;413;91;22;3
CRUZ;898;432;116;41;14;2
EDVL;1,371;617;157;37;15;5
ERKE;2,333;908;184;35;16;2
FANT;2,081;767;159;43;11;7
FERT;547;219;53;11;3;1
FUNE;1,237;578;188;64;33;10
FUSW;658;253;71;24;6;2
GARD;1,530;654;172;44;11;2
GOSK;1,735;719;235;99;40;16
GREF;6,401;2,953;866;149;32;8
HALL;4,438;1,830;498;55;12;1
JIRK;1,633;576;168;45;20;3
KAST;2,748;920;145;30;9;2
KLIC;7,753;3,191;625;86;27;4
KOZK;1,728;807;290;99;30;8
KUCX;4,286;1,470;310;61;21;7
LAND;4,697;2,106;579;109;23;4
LUGA;2,337;943;204;43;19;5
MAGG;1,262;509;118;36;13;3
MAJC;3,684;1,470;298;41;16;4
MALA;2,646;995;166;24;6;1
MARK;1,168;416;58;13;3;
MEDD;9,568;4,826;1,503;201;67;15
MILA;4,430;1,929;534;122;43;11
MOND;4,922;2,172;587;115;39;10
MOST;12,283;6,161;1,940;275;61;12
NMUS;201;69;25;14;3;1
NVAL;948;432;135;40;15;4
ORTA;1,379;575;203;60;18;5
PAMV;977;409;103;32;11;2
PAVN;1,887;807;184;43;14;2
PEPS;1,401;549;92;21;4;1
PIBR;3,576;1,448;419;93;39;13
PLES;841;418;146;46;16;5
PRSC;2,191;1,029;375;113;40;7
RIMV;7,452;3,382;886;176;69;12
ROSX;2,632;1,001;275;70;17;3
SANA;176;68;28;7;5;2
SLAP;7,785;2,991;567;71;20;4
SMAU;928;438;135;39;12;2
STEC;2,841;1,110;292;77;19;5
STIU;859;375;94;29;10;
SZYM;1,840;736;256;59;20;7
TARN;1,676;703;152;39;13;6
THUN;3,417;1,377;366;99;28;1
TIEF;4,545;1,735;346;78;24;5
TOTR;2,168;939;239;62;22;3
TOUS;1,323;541;93;14;3;1
TRAU;5,692;2,438;638;99;23;2
TRCH;1,411;589;119;24;8;6
TSKO;2,359;802;201;43;11;2
VANN;1,680;603;110;24;11;1
VATT;2,127;936;246;63;18;4
VECH;3,201;1,272;271;61;23;4
VELN;819;345;78;16;3;
VOLV;2,205;918;162;29;10;2
VORT;1,064;473;106;13;1;
VRNC;1,621;722;243;77;30;7
VRNZ;619;306;135;39;13;2
VSVK;1,092;486;123;39;17;3
WOLF;5,057;2,274;602;103;32;6
ZLUT;10,558;5,177;1,591;215;58;15
ZURI;2,700;1,004;231;65;18;5
